weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
183414,183414,1,66.2069,16,31,v,t,t
271400,271400,1,37.2562,23,28,v,t,t
117189,117189,1,67.3344,23,30,t,v,t
802941,802941,1,28.0197,12,32,t,t,v
522184,522184,1,34.957,27,33,t,v,t
164338,164338,1,20.0616,9,29,v,t,t
162764,162764,1,25.6602,15,30,v,t,t
185661,185661,1,17.5146,14,26,t,v,t
568993,568993,1,30.2441,9,31,t,v,t
105510,105510,1,25.4079,10,31,t,v,t
148142,148142,1,38.1016,28,38,t,v,t
115410,115410,1,33.0948,12,33,t,v,t
889531,889531,1,27.8114,1,22,t,v,t
164599,164599,1,14.2055,2,36,v,t,t
895207,895207,1,20.8099,15,31,t,v,t
116307,116307,1,50.4782,21,32,v,t,t
155749,155749,1,19.3704,11,33,t,v,t
987083,987083,1,38.9189,14,33,v,t,t
159161,159161,1,12.5731,0,26,v,t,t
255305,255305,1,17.7007,21,40,t,t,v
142246,142246,1,45.1746,27,33,t,v,t
179830,179830,1,25.0577,6,41,t,v,t
180865,180865,1,26.9335,9,31,t,t,v
588210,588210,1,34.3873,35,40,t,t,v
156659,156659,1,18.184,13,34,t,v,t
126156,126156,1,47.8051,25,32,v,t,t
972579,972579,1,36.2782,6,39,t,t,v
171658,171658,1,57.0206,11,42,t,t,v
892635,892635,1,20.6307,25,29,t,t,v
462611,462611,1,42.2137,26,38,v,t,t
168706,168706,1,29.6657,15,32,v,t,t
438763,438763,1,22.7978,13,33,v,t,t
107045,107045,1,35.2602,16,36,t,t,v
135298,135298,1,18.6303,4,31,t,t,v
286121,286121,1,62.8346,31,35,t,v,t
483190,483190,1,15.6618,19,26,v,t,t
460187,460187,1,18.2305,6,29,t,v,t
135369,135369,1,27.4402,13,28,t,t,v
170456,170456,1,46.8727,23,27,t,v,t
169437,169437,1,15.4514,3,29,t,v,t
816547,816547,1,34.6808,18,34,t,v,t
856612,856612,1,50.0089,25,37,v,t,t
100702,100702,1,27.3353,23,36,v,t,t
116078,116078,1,63.6172,28,33,t,v,t
177901,177901,1,27.6362,10,31,t,t,v
329251,329251,1,36.6025,7,26,v,t,t
132505,132505,1,37.5937,13,25,t,v,t
166107,166107,1,33.4703,17,36,v,t,t
131562,131562,1,12.353,4,36,t,v,t
871153,871153,1,35.372,10,24,t,t,v
170088,170088,1,35.1687,31,40,t,v,t
139918,139918,1,42.8717,12,26,t,t,v
963836,963836,1,37.1489,18,28,v,t,t
117428,117428,1,51.3638,22,32,v,t,t
264822,264822,1,14.7847,12,26,t,v,t
860467,860467,1,53.5255,28,34,t,v,t
176067,176067,1,46.6426,8,34,v,t,t
136572,136572,1,56.2925,24,33,t,t,v
342330,342330,1,13.3395,8,36,v,t,t
112220,112220,1,15.2497,1,31,t,t,v
136598,136598,1,37.2183,12,34,t,t,v
139551,139551,1,28.8218,7,31,v,t,t
457504,457504,1,35.0257,2,28,t,v,t
182600,182600,1,78.9019,17,33,t,v,t
121907,121907,1,55.8193,24,32,t,v,t
511501,511501,1,38.3434,8,32,t,v,t
184134,184134,1,17.9901,1,24,v,t,t
181317,181317,1,27.3936,1,38,t,v,t
170589,170589,1,36.5719,3,34,v,t,t
316776,316776,1,36.195,22,41,t,v,t
474522,474522,1,34.3941,15,36,t,v,t
132146,132146,1,43.3298,25,39,t,v,t
113135,113135,1,61.3117,0,27,v,t,t
967684,967684,1,31.5311,12,36,t,t,v
137022,137022,1,22.9483,1,34,t,t,v
159557,159557,1,24.7001,8,30,t,v,t
532700,532700,1,43.5424,14,28,t,v,t
882875,882875,1,43.7202,21,36,t,v,t
548480,548480,1,48.7352,15,32,t,t,v
163624,163624,1,32.278,19,30,t,t,v
129959,129959,1,47.7221,16,29,t,v,t
