weapon1,weapon2,hypothesis,ccf,split1,split2,split3
470624,470624,1,0.720996052,v,t,t
470624,161093,0,0.376164375,n,t,n
470624,657777,0,0.267935235,v,t,t
470624,629356,0,0.152477765,n,n,t
470624,174422,0,0.3236957,n,t,n
470624,162959,0,0.160647941,n,n,t
470624,817250,0,0.566284045,n,t,n
470624,241819,0,0.316316482,n,t,n
470624,613228,0,0.149065842,v,t,t
470624,149582,0,0.311116889,n,t,n
470624,882726,0,0.259887132,n,t,n
470624,118948,0,0.290124891,v,t,t
470624,149948,0,0.299832121,n,n,t
470624,747615,0,0.334992663,n,n,t
470624,284033,0,0.319266765,n,t,n
470624,336776,0,0.130502104,n,n,t
470624,134027,0,0.392920111,n,t,n
470624,973978,0,0.338670387,v,t,t
470624,158556,0,0.248391973,n,t,n
470624,349193,0,0.3903287,v,t,t
470624,589924,0,0.194459032,n,t,n
470624,129907,0,0.126727877,n,t,n
470624,505064,0,0.36197193,n,n,t
470624,756929,0,0.324550048,n,t,n
470624,649192,0,0.246964786,n,n,t
470624,161374,0,0.245179709,n,n,t
470624,134559,0,0.332909617,n,n,t
470624,148570,0,0.41697639,n,t,n
470624,106857,0,0.488263965,n,t,n
470624,182895,0,0.328413343,n,n,t
470624,164564,0,0.48730141,n,n,t
470624,105152,0,0.467549666,v,t,t
470624,506982,0,0.185706783,n,n,t
470624,144769,0,0.232274736,n,t,n
470624,157293,0,0.207186922,n,n,t
470624,566697,0,0.460087227,v,t,t
470624,149326,0,0.287100572,n,n,t
470624,169156,0,0.428219806,v,t,t
470624,419105,0,0.202001484,v,t,t
470624,121663,0,0.486387229,n,t,n
470624,453446,0,0.179333843,v,t,t
470624,181312,0,0.222072352,n,n,t
470624,719340,0,0.336311176,n,n,t
470624,712920,0,0.350414163,n,t,n
470624,247051,0,0.353022996,v,t,t
470624,783828,0,0.311036573,n,n,t
470624,599953,0,0.449006603,n,t,n
470624,688949,0,0.174725676,v,t,t
470624,386027,0,0.470371429,n,t,n
470624,858451,0,0.236941097,v,t,t
470624,114908,0,0.354355537,v,t,t
470624,740379,0,0.265956762,n,n,t
470624,381929,0,0.429897201,n,t,n
470624,133371,0,0.463766402,n,n,t
470624,581040,0,0.502032298,v,t,t
470624,321825,0,0.504471167,v,t,t
470624,142496,0,0.307634683,n,n,t
470624,177079,0,0.338543685,n,t,n
470624,169049,0,0.177734418,n,t,n
470624,144336,0,0.305345848,v,t,t
470624,152521,0,0.027382862,v,t,t
470624,815453,0,0.375141468,v,t,t
470624,636162,0,0.35916079,v,t,t
470624,520799,0,0.351741907,v,t,t
470624,128216,0,0.04080449,v,t,t
470624,402539,0,0.355322497,n,n,t
470624,132234,0,0.338778427,v,t,t
470624,402090,0,0.412868782,v,t,t
470624,176507,0,0.285025736,n,t,n
470624,886068,0,0.164517847,n,n,t
470624,965622,0,0.320236831,n,n,t
470624,156364,0,0.150854309,n,t,n
470624,792222,0,0.248098214,n,t,n
470624,385674,0,0.362428357,n,n,t
470624,457268,0,0.417441811,n,t,n
470624,274121,0,0.480598288,n,n,t
470624,167534,0,0.402962404,n,n,t
470624,446654,0,0.510235164,v,t,t
470624,112005,0,0.214297586,v,t,t
470624,182284,0,0.359798017,v,t,t
470624,191690,0,0.248318671,n,n,t
470624,621961,0,0.361099471,n,n,t
470624,144770,0,0.486886803,n,t,n
470624,471412,0,0.473385273,v,t,t
470624,178410,0,0.387860152,v,t,t
470624,164552,0,0.29866392,n,t,n
470624,870297,0,0.425401589,v,t,t
470624,579073,0,0.113491557,n,t,n
470624,751240,0,0.289773353,v,t,t
470624,291372,0,0.207999234,v,t,t
470624,554194,0,0.205355826,n,n,t
470624,111688,0,0.331014809,n,t,n
470624,142610,0,0.289399304,n,t,n
470624,317195,0,0.251165355,n,n,t
